"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,32,NA,32,NA,NA,NA
2020-03-22,57,NA,57,NA,NA,NA
2020-03-29,55,NA,55,NA,NA,NA
2020-04-05,54,NA,54,NA,NA,NA
2020-04-12,43,NA,43,NA,NA,NA
2020-04-19,47,NA,47,NA,NA,NA
2020-04-26,56,NA,56,NA,NA,NA
2020-05-03,72,NA,72,NA,NA,NA
2020-05-10,88,NA,88,NA,NA,NA
2020-05-17,79,NA,79,NA,NA,NA
2020-05-24,102,NA,102,NA,NA,NA
2020-05-31,119,NA,119,NA,NA,NA
2020-06-07,159,NA,159,NA,NA,NA
2020-06-14,155,NA,155,NA,NA,NA
2020-06-21,178,NA,178,NA,NA,NA
2020-06-28,215,NA,215,NA,NA,NA
2020-07-05,234,NA,234,NA,NA,NA
2020-07-12,233,NA,233,NA,NA,NA
2020-07-19,254,NA,254,NA,NA,NA
2020-07-26,224,NA,224,NA,NA,NA
2020-08-02,240,NA,240,NA,NA,NA
2020-08-09,233,NA,233,NA,NA,NA
2020-08-16,235,NA,235,NA,NA,NA
2020-08-23,203,NA,203,NA,NA,NA
2020-08-30,191,NA,191,NA,NA,NA
2020-09-06,195,NA,195,NA,NA,NA
2020-09-13,173,NA,173,NA,NA,NA
2020-09-20,180,NA,180,NA,NA,NA
2020-09-27,205,NA,205,NA,NA,NA
2020-10-04,230,NA,230,NA,NA,NA
2020-10-11,179,NA,179,NA,NA,NA
2020-10-18,143,NA,143,NA,NA,NA
2020-10-25,111,NA,111,NA,NA,NA
2020-11-01,120,NA,120,NA,NA,NA
2020-11-08,143,NA,143,NA,NA,NA
2020-11-15,172,NA,172,NA,NA,NA
2020-11-22,169,NA,169,NA,NA,NA
2020-11-29,160,NA,160,NA,NA,NA
2020-12-06,169,NA,169,NA,NA,NA
2020-12-13,164,NA,164,NA,NA,NA
2020-12-20,161,NA,161,NA,NA,NA
2020-12-27,180,NA,180,NA,NA,NA
2021-01-03,207,NA,207,NA,NA,NA
2021-01-10,221,NA,221,NA,NA,NA
2021-01-17,156,NA,156,NA,NA,NA
2021-01-24,135,NA,135,NA,NA,NA
2021-01-31,137,NA,137,NA,NA,NA
2021-02-07,153,NA,153,NA,NA,NA
2021-02-14,199,NA,199,NA,NA,NA
2021-02-21,243,NA,243,NA,NA,NA
2021-02-28,285,NA,285,NA,NA,NA
2021-03-07,403,NA,403,NA,NA,NA
2021-03-14,405,NA,405,NA,NA,NA
2021-03-21,414,NA,414,NA,NA,NA
2021-03-28,334,NA,334,NA,NA,NA
2021-04-04,270,NA,270,NA,NA,NA
2021-04-11,226,NA,226,NA,NA,NA
2021-04-18,246,NA,246,NA,NA,NA
2021-04-25,256,NA,256,NA,NA,NA
2021-05-02,234,NA,234,NA,NA,NA
2021-05-09,299,NA,299,NA,NA,NA
2021-05-16,289,NA,289,NA,NA,NA
2021-05-23,305,NA,305,NA,NA,NA
2021-05-30,382,NA,382,NA,NA,NA
2021-06-06,362,NA,362,NA,NA,NA
2021-06-13,332,NA,332,NA,NA,NA
2021-06-20,295,NA,295,NA,NA,NA
2021-06-27,218,NA,218,NA,NA,NA
2021-07-04,169,NA,169,NA,NA,NA
2021-07-11,166,NA,166,NA,NA,NA
2021-07-18,123,NA,123,NA,NA,NA
2021-07-25,134,NA,134,NA,NA,NA
2021-08-01,120,NA,120,NA,NA,NA
2021-08-08,116,NA,116,NA,NA,NA
2021-08-15,66,NA,66,NA,NA,NA
2021-08-22,86,NA,86,NA,NA,NA
2021-08-29,59,NA,59,NA,NA,NA
2021-09-05,NA,64,64,NA,64,65
2021-09-12,NA,63,63,NA,63,65
2021-09-19,NA,64,64,NA,64,66
2021-09-26,NA,62,62,NA,62,64
2021-10-03,NA,54,54,NA,54,56
2021-10-10,NA,60,60,NA,60,62
2021-10-17,NA,50,50,NA,49,53
2021-10-24,NA,48,48,NA,44,54
2021-10-31,NA,55,55,NA,43,70
